Geoserver,2.27.2,Split Polygon,5897,geo:splitPolygon,Splits a polygon by a linestring,polygon,Polygon to split,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",line,Linestring to split by,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",result,,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Start Point,5898,geo:startPoint,Returns a point geometry equal to the first vertex of a LineString.,geom,Input line,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",result,,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Symmetric Difference,5899,geo:symDifference,Returns a geometry representing the points contained in either one of two geometries but not in both. The result may be a heterogeneous geometry collection.,a,First input geometry,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",b,Second input geometry,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",result,,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Touches Test,5900,geo:touches,Tests if two geometries have at least one boundary point in common  but share no interior points.,a,First input geometry,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",b,Second input geometry,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",result,,LiteralData,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Union,5901,geo:union,Returns a geometry representing all points contained in any of the geometries in a geometry collection.,geom,Input geometries (minimum 2),Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",result,,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Within Test,5902,geo:within,Tests if the first geometry is contained in the second geometry.,a,First input geometry,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",b,Second input geometry,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",result,,LiteralData,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Add Coverages,5903,gs:AddCoverages,Returns a raster generated by pixel-by-pixel addition of two source rasters.  Source rasters must have the same bounding box and resolution.,coverageA,First input raster,Raster,"image/tiff,image/tiff,application/arcgrid",coverageB,Second input raster,Raster,"image/tiff,image/tiff,application/arcgrid",result,,Raster,"image/tiff,image/tiff,application/arcgrid,image/png,image/jpeg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Aggregate,5904,gs:Aggregate,Computes one or more aggregation functions on a feature attribute. Functions include Count  Average  Max  Median  Min  StdDev  and Sum.,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",aggregationAttribute,Attribute on which to perform aggregation,LiteralData,string,function,An aggregate function to compute. Functions include Count  Average  Max  Median  Min  StdDev  Sum and SumArea.,LiteralData,string,singlePass,If True computes all aggregation values in a single pass (this will defeat DBMS-specific optimizations),LiteralData,boolean,groupByAttributes,List of group by attributes,LiteralData,string,result,,Vector,"text/xml,text/xml,application/json",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Area Grid,5905,gs:AreaGrid,Computes a raster grid of given geographic extent with cell values equal to the area the cell represents on the surface of the earth.  Area is computed using the EckertIV projection.,envelope,Bounding box for the computed raster  in WGS84 geographic coordinates.,LiteralData,string,width,Width of the output raster in pixels,LiteralData,int,height,Height of the output raster in pixels,LiteralData,int,result,,Raster,"image/tiff,image/tiff,application/arcgrid,image/png,image/jpeg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,BarnesSurface,5906,gs:BarnesSurface,Uses Barnes Analysis to compute an interpolated surface over a set of irregular data points.,data,Input features,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",valueAttr,Name of attribute containing the data value to be interpolated,LiteralData,string,dataLimit,Limit for the number of input features processed,LiteralData,int,scale,Length scale for the interpolation  in units of the source data CRS,LiteralData,double,convergence,Convergence factor for refinement (between 0 and 1  default 0.3),LiteralData,double,passes,Number of passes to compute (default = 2),LiteralData,int,minObservations,Minimum number of observations required to support a grid cell (default = 2),LiteralData,int,maxObservationDistance,Maximum distance to an observation for it to support a grid cell  in units of the source CRS (default = 0  meaning all observations used),LiteralData,double,noDataValue,Value to use for NO_DATA cells (default = -999),LiteralData,double,pixelsPerCell,Resolution of the computed grid in pixels per grid cell (default = 1),LiteralData,int,queryBuffer,Distance to expand the query envelope by  in units of the source CRS (larger values provide a more stable surface),LiteralData,double,outputBBOX,Bounding box for output,LiteralData,string,outputWidth,Width of the output raster in pixels,LiteralData,int,outputHeight,Height of the output raster in pixels,LiteralData,int,result,,Raster,"image/tiff,image/tiff,application/arcgrid,image/png,image/jpeg"
Geoserver,2.27.2,Bounds,5907,gs:Bounds,Computes the bounding box of the input features.,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,application/json,application/vnd.google-earth.kml+xml",bounds,,LiteralData,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Buffer,5908,gs:BufferFeatureCollection,Buffers features by a distance value supplied either as a parameter or by a feature attribute. Calculates buffers based on Cartesian distances.,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",distance,Fixed value to use for the buffer distance,LiteralData,double,attributeName,Attribute containing the buffer distance value,LiteralData,string,result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Centroid,5909,gs:Centroid,Computes the geometric centroids of features,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Clip,5910,gs:Clip,Clips (crops) features to a given geometry,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",clip,Geometry to use for clipping (in same CRS as input features),Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",preserveZ,Attempt to preserve Z values from the original geometry (interpolate value for new points),LiteralData,boolean,result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Collect Geometries,5911,gs:CollectGeometries,Collects the default geometries of the input features and combines them into a single geometry collection,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,application/json,application/vnd.google-earth.kml+xml",result,,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Contour,5912,gs:Contour,Computes contour lines at specified intervals or levels for the values in a raster.,data,Input raster,Raster,"image/tiff,image/tiff,application/arcgrid",band,Band number (zero base) to use for values to be contoured,LiteralData,int,levels,Values of levels at which to generate contours,LiteralData,double,interval,Interval between contour values (ignored if levels parameter is supplied),LiteralData,double,simplify,Indicates whether contour lines are simplified,LiteralData,boolean,smooth,Indicates whether contour lines are smoothed using Bezier smoothing,LiteralData,boolean,roi,Geometry delineating the region of interest (in raster coordinate system),Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Count Features,5913,gs:Count,Computes the number of features in a feature collection.,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",result,,LiteralData,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Crop Coverage,5914,gs:CropCoverage,Returns the portion of a raster bounded by a given geometry.,coverage,Input raster,Raster,"image/tiff,image/tiff,application/arcgrid",cropShape,Geometry used to crop the raster,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",result,,Raster,"image/tiff,image/tiff,application/arcgrid,image/png,image/jpeg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Feature from Geometry,5915,gs:Feature,Converts a geometry into a feature collection.,geometry,Input geometry,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",crs,Coordinate reference system of the input geometry (if not provided in the geometry),LiteralData,string,typeName,Feauturetype name for the feature collection,LiteralData,string,result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Georectify Coverage,5916,gs:GeorectifyCoverage,Georectifies a raster via Ground Control Points using gdal_warp,data,Input raster,Raster,"image/tiff,image/tiff,application/arcgrid",gcp,List of Ground control points.  Points are specified as [x y] or [x y z].,LiteralData,string,bbox,Bounding box for output,LiteralData,string,targetCRS,Coordinate reference system to use for the output raster,LiteralData,string,width,Width of output raster in pixels,LiteralData,int,height,Height of output raster in pixels,LiteralData,int,warpOrder,Order of the warping polynomial (1 to 3),LiteralData,int,transparent,Force output to have transparent background,LiteralData,boolean,store,Indicates whether to keep the output file after processing,LiteralData,boolean,outputPath,Pathname where the output file is stored,LiteralData,string,result,,Raster,"image/tiff,image/tiff,application/arcgrid,image/png,image/jpeg",path,,LiteralData,string,,,,,,,,,,,,
Geoserver,2.27.2,GetCoveragesValue,5917,gs:GetCoveragesValue,Returns values from one or more coverages at a given location,name,Comma delimited names of rasters  optionally fully qualified (workspace:name)  will check for the first one that intersects the point and returns a value,LiteralData,string,x,x coordinate of the location to sample,LiteralData,double,y,y coordinate of the location to sample,LiteralData,double,crs,Coordinate Reference System of the x and y coordinates  defaults to first coverage CRS if not set,LiteralData,string,result,,Vector,"application/json,application/json",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,GetFullCoverage,5918,gs:GetFullCoverage,Returns a raster from the catalog  with optional filtering,name,Name of raster  optionally fully qualified (workspace:name),LiteralData,string,filter,Filter to use on the raster data,ComplexData,"text/xml; subtype=filter/1.0,text/xml; subtype=filter/1.0,text/xml; subtype=filter/1.1,text/plain; subtype=cql",result,,Raster,"image/tiff,image/tiff,application/arcgrid,image/png,image/jpeg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Grid,5919,gs:Grid,Generates a georeferenced regular grid of cells.  Output contains the attributes: cell - the cell polygon; id - a unique identifier; centerX and centerY - the ordinates of the cell center.,bounds,Bounds of the grid,LiteralData,string,width,Width of a cell (in units of the grid CRS),LiteralData,double,height,Height of a cell (in units of the grid CRS).  Only for rectangular grid  defaults to equal width.,LiteralData,double,vertexSpacing,Distance between vertices along cell sides (in units of the grid CRS),LiteralData,double,mode,Type of grid to be generated.  Specifies shape of cells in grid.,LiteralData,string,result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Heatmap,5920,gs:Heatmap,Computes a heatmap surface over a set of data points and outputs as a single-band raster.,data,Input features,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",radiusPixels,Radius of the density kernel in pixels,LiteralData,int,weightAttr,Name of the attribute to use for data point weight,LiteralData,string,pixelsPerCell,Resolution at which to compute the heatmap (in pixels). Default = 1,LiteralData,int,outputBBOX,Bounding box of the output,LiteralData,string,outputWidth,Width of output raster in pixels,LiteralData,int,outputHeight,Height of output raster in pixels,LiteralData,int,result,,Raster,"image/tiff,image/tiff,application/arcgrid,image/png,image/jpeg",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Import to Catalog,5921,gs:Import,Imports a feature collection into the catalog,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",coverage,Input raster,Raster,"image/tiff,image/tiff,application/arcgrid",workspace,Target workspace (default is the system default),LiteralData,string,store,Target store (default is the workspace default),LiteralData,string,name,Name of the new featuretype/coverage (default is the name of the features in the collection),LiteralData,string,srs,Target coordinate reference system (default is based on source when possible),LiteralData,string,srsHandling,Desired SRS handling (default is FORCE_DECLARED  others are REPROJECT_TO_DECLARED or NONE),LiteralData,string,styleName,Name of the style to be associated with the layer (default is a standard geometry-specific style),LiteralData,string,layerName,,LiteralData,string,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Inclusion of Feature Collections,5922,gs:InclusionFeatureCollection,Returns a feature collection consisting of the features from the first collection which are spatially contained in at least one feature of the second collection.,first,First feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",second,Second feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Intersection of Feature Collections,5923,gs:IntersectionFeatureCollection,Spatial intersection of two feature collections  including combining attributes from both.,first feature collection,First feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",second feature collection,Second feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",first attributes to retain,First feature collection attribute to include,LiteralData,string,second attributes to retain,Second feature collection attribute to include,LiteralData,string,intersectionMode,Specifies geometry computed for intersecting features.  INTERSECTION (default) computes the spatial intersection of the inputs. FIRST copies geometry A.  SECOND copies geometry B.,LiteralData,string,percentagesEnabled,Indicates whether to output feature area percentages (attributes percentageA and percentageB),LiteralData,boolean,areasEnabled,Indicates whether to output feature areas (attributes areaA and areaB),LiteralData,boolean,result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Geocode point in LRS,5924,gs:LRSGeocode,Extracts points at a given measure from LRS features,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,application/json,application/vnd.google-earth.kml+xml",from_measure_attb,Attribute providing start measure of feature,LiteralData,string,to_measure_attb,Attribute providing end measure of feature,LiteralData,string,measure,Measure of the point along the feature to be computed,LiteralData,double,result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Measure point in LRS,5925,gs:LRSMeasure,Computes the measure of a point along a feature (as feature with attribute lrs_measure). The point is measured along the nearest feature.,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,application/json,application/vnd.google-earth.kml+xml",from_measure_attb,Attribute providing start measure of feature,LiteralData,string,to_measure_attb,Attribute providing end measure of feature,LiteralData,string,point,Point whose location to measure,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",crs,Coordinate reference system to use for input (default is the input collection CRS),LiteralData,string,result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Extract Segment in LRS,5926,gs:LRSSegment,Extracts segment between a given start and end measure from LRS features,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,application/json,application/vnd.google-earth.kml+xml",from_measure_attb,Attribute providing start measure of feature,LiteralData,string,to_measure_attb,Attribute providing end measure of feature,LiteralData,string,from_measure,Measure for start of segment to extract,LiteralData,double,to_measure,Measure for end of segment to extract,LiteralData,double,result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Multiply Coverages,5927,gs:MultiplyCoverages,Returns a raster generated by pixel-by-pixel multiplication of two source rasters.  Source rasters must have the same bounding box and resolution.,coverageA,First input raster,Raster,"image/tiff,image/tiff,application/arcgrid",coverageB,Second input raster,Raster,"image/tiff,image/tiff,application/arcgrid",result,,Raster,"image/tiff,image/tiff,application/arcgrid,image/png,image/jpeg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Nearest Feature,5928,gs:Nearest,Returns the feature in a given feature collection that has the smallest distance to a given point.,features,Input feature collection,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,application/json,application/vnd.google-earth.kml+xml",point,Point from which to compute distance,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",crs,Coordinate reference system of the collection and point (default is the input collection CRS),LiteralData,string,result,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,PagedUnique,5929,gs:PagedUnique,Gets the list of unique values for the given featurecollection on a specified field  allows optional paging,features,Layer from which field values should be retrieved,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",fieldName,Field from which the values should be retrieved,LiteralData,string,startIndex,The index of the first feature to retrieve,LiteralData,int,maxFeatures,The maximum numbers of features to fetch,LiteralData,int,result,,Vector,"application/json,application/json",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoserver,2.27.2,Point Buffers,5930,gs:PointBuffers,Returns a collection of circular buffer polygons with specified radii centered on a given point,center,Input point,Vector,"text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/3.1.1,text/xml; subtype=gml/2.1.2,application/wkt,application/ewkt,application/gml-3.1.1,application/gml-2.1.2,application/json",crs,Coordinate reference system of the point and the generated buffer polygons,LiteralData,string,distances,Buffer radius distance  in meters,LiteralData,double,quadrantSegments,Number of line segments per quarter-circle to be generated.  Larger numbers produce smoother shapes but larger numbers of vertices. Default is 8,LiteralData,int,buffers,,ComplexData,"text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.0,text/xml; subtype=wfs-collection/1.1,application/wfs-collection-1.0,application/wfs-collection-1.1,text/xml,application/zip,text/csv,application/json,application/vnd.google-earth.kml+xml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
